task_id,task_type,difficulty_level,generated_tokens,termination_status,terminal_max_distance,terminal_mean_distance,last_distance,distance_tail_nonincreasing,max_lexical_repetition_rate,max_segment_revisit_rate,loop_suspect,path_reversal_count,prereason_runtime_ms,probe_runtime_ms,peak_memory_mb,status,error
code_L1_001,code_generation,1,256,budget_exhausted,,,,,0.03557312252964427,0.0,False,1,13877.00245087035,648.9890329539776,15836.83837890625,success,
code_L2_002,code_generation,2,256,budget_exhausted,,,,,0.02766798418972332,0.0,False,1,11057.606073096395,386.0600090119988,15848.61181640625,success,
code_L3_003,code_generation,3,256,budget_exhausted,,,,,0.02766798418972332,0.16666666666666666,True,3,9468.074361095205,478.88417006470263,15896.166015625,success,
code_L4_004,code_generation,4,256,budget_exhausted,,,,,0.02766798418972332,0.0,False,1,9885.013404069468,553.3636261243373,15911.60107421875,success,
code_L5_005,code_generation,5,256,budget_exhausted,,,,,0.043478260869565216,0.0,False,1,10381.007406162098,556.0395440552384,15912.62939453125,success,
math_L1_006,math_reasoning,1,256,budget_exhausted,,,,,0.019762845849802372,0.0,False,1,11614.70616189763,396.3913549669087,15833.365234375,success,
math_L2_007,math_reasoning,2,256,budget_exhausted,,,,,0.05533596837944664,0.0,False,1,10553.410452092066,393.6087389010936,15844.9423828125,success,
math_L3_008,math_reasoning,3,256,budget_exhausted,,,,,0.1225296442687747,0.3333333333333333,True,0,12647.307625971735,395.6151108723134,15837.41748046875,success,
math_L4_009,math_reasoning,4,256,budget_exhausted,,,,,0.09836065573770492,0.0,False,0,12257.197183091193,396.96926809847355,15836.259765625,success,
math_L5_010,math_reasoning,5,256,budget_exhausted,,,,,0.14285714285714285,0.0,False,1,11140.64344088547,398.80792889744043,15832.78662109375,success,
qa_L1_011,knowledge_qa,1,256,budget_exhausted,,,,,0.011857707509881422,0.0,False,4,13268.41365499422,399.0502208471298,15824.103515625,success,
qa_L2_012,knowledge_qa,2,256,budget_exhausted,,,,,0.015873015873015872,0.0,False,1,11790.828794939443,394.448695005849,15846.10009765625,success,
qa_L3_013,knowledge_qa,3,256,budget_exhausted,,,,,0.072,0.5,True,1,12139.423810178414,468.91210600733757,15905.02294921875,success,
qa_L4_014,knowledge_qa,4,256,budget_exhausted,,,,,0.043478260869565216,0.0,False,0,12408.123909961432,482.5618069153279,15890.9736328125,success,
qa_L5_015,knowledge_qa,5,256,budget_exhausted,,,,,0.01639344262295082,0.0,False,0,10992.034788010642,496.17900513112545,15902.2744140625,success,
logic_L1_016,logical_reasoning,1,256,budget_exhausted,,,,,0.04,0.0,False,2,11971.412151120603,397.9622039478272,15839.98681640625,success,
logic_L2_017,logical_reasoning,2,256,budget_exhausted,,,,,0.072,0.0,False,0,10920.574794057757,443.62089806236327,15844.36376953125,success,
logic_L3_018,logical_reasoning,3,256,budget_exhausted,,,,,0.04743083003952569,0.0,False,0,12745.262395823374,498.6994529608637,15897.99853515625,success,
logic_L4_019,logical_reasoning,4,256,budget_exhausted,,,,,0.05138339920948617,0.0,False,2,13175.774953095242,485.54823407903314,15901.66357421875,success,
logic_L5_020,logical_reasoning,5,256,budget_exhausted,,,,,0.072,0.5,True,0,11431.313257897273,574.759281007573,15918.80126953125,success,
inst_L1_021,instruction_following,1,256,budget_exhausted,,,,,0.024,0.0,False,1,11326.753461034968,393.55629100464284,15833.9443359375,success,
inst_L2_022,instruction_following,2,256,budget_exhausted,,,,,0.1067193675889328,0.16666666666666666,True,0,10601.786568993703,484.8125909920782,15892.1953125,success,
inst_L3_023,instruction_following,3,256,budget_exhausted,,,,,0.007905138339920948,0.0,False,0,11138.091595144942,481.5251489635557,15905.6337890625,success,
inst_L4_024,instruction_following,4,256,budget_exhausted,,,,,0.112,0.25,True,3,10810.109389014542,498.49965306930244,15910.1123046875,success,
inst_L5_025,instruction_following,5,256,budget_exhausted,,,,,0.026455026455026454,0.0,False,1,11154.421363025904,647.7419750299305,15936.88818359375,success,
