task_id,task_type,difficulty_level,prompt_tokens,user_tokens,attention_entropy_normalized,top10_attention_concentration,graph_density_threshold_01,cycle_count,attention_load_score,runtime_ms,peak_memory_mb,status,error
code_L1_001,code_generation,1,42,30,0.695142283296044,0.5624074403533776,0.09195402298850575,0,56.636742147133326,925.9792489465326,15649.712890625,success,
code_L2_002,code_generation,2,62,50,0.6727704302590739,0.6012630677848522,0.04816326530612245,0,53.57536812371109,66.72705383971334,15661.22998046875,success,
code_L3_003,code_generation,3,93,81,0.6300395251203554,0.6565998117730487,0.03179012345679012,0,48.671985667365334,89.7493518423289,15683.34912109375,success,
code_L4_004,code_generation,4,142,130,0.6661191997749442,0.6386709167881933,0.01621943947525343,0,51.372414149337544,137.64103804714978,15735.49560546875,success,
code_L5_005,code_generation,5,144,132,0.6817363905353282,0.6219415504339627,0.013416608836456165,0,52.98974200506827,126.43610709346831,15734.36181640625,success,
math_L1_006,math_reasoning,1,36,24,0.7102149812322434,0.5491008097305894,0.13043478260869565,0,58.0557085750827,51.3761721085757,15646.68701171875,success,
math_L2_007,math_reasoning,2,56,44,0.6945981064457365,0.5737639688832555,0.07188160676532769,0,56.041706878124046,61.30367913283408,15657.51220703125,success,
math_L3_008,math_reasoning,3,43,31,0.7177279280382208,0.5431524893501773,0.1010752688172043,0,58.72877193440218,56.44743191078305,15650.24267578125,success,
math_L4_009,math_reasoning,4,41,29,0.6908290082522269,0.5683922534559055,0.09113300492610837,0,56.12183773981607,53.95787302404642,15649.2041015625,success,
math_L5_010,math_reasoning,5,35,23,0.6788302501088104,0.5712580885208974,0.13043478260869565,0,55.378608079395654,50.5894860252738,15646.22021484375,success,
qa_L1_011,knowledge_qa,1,20,8,0.7171566687341381,0.5689961025823972,0.4642857142857143,0,57.408028307587045,43.417925015091896,15639.60888671875,success,
qa_L2_012,knowledge_qa,2,58,46,0.6485225061937753,0.6186455952262299,0.057971014492753624,0,51.49384554837727,63.228524988517165,15658.724609375,success,
qa_L3_013,knowledge_qa,3,122,110,0.6266035464793335,0.6685546284579936,0.02018348623853211,0,47.90244590106699,99.68363307416439,15709.5673828125,success,
qa_L4_014,knowledge_qa,4,76,64,0.6457408849685361,0.6339521324816382,0.036210317460317464,0,50.58943762434489,74.67803289182484,15670.53564453125,success,
qa_L5_015,knowledge_qa,5,113,101,0.6767618981924898,0.6144268733472563,0.020594059405940595,0,53.11675124226167,92.45729702524841,15702.20068359375,success,
logic_L1_016,logical_reasoning,1,46,34,0.6845317614912126,0.5798595820511268,0.0855614973262032,0,55.23360897200429,56.606808910146356,15652.50341796875,success,
logic_L2_017,logical_reasoning,2,55,43,0.676078265459572,0.5959117198806434,0.06201550387596899,0,54.008327278946425,61.020758002996445,15656.935546875,success,
logic_L3_018,logical_reasoning,3,99,87,0.6991394240898825,0.5906532617735265,0.023255813953488372,0,55.4243081158178,85.35573119297624,15688.24462890625,success,
logic_L4_019,logical_reasoning,4,111,99,0.6730380609333967,0.6216797788475393,0.021645021645021644,0,52.56791410429287,91.34199004620314,15700.61181640625,success,
logic_L5_020,logical_reasoning,5,166,154,0.6723516600754712,0.6344354559402621,0.011034716917069858,0,51.89581020676046,138.49750207737088,15770.60107421875,success,
inst_L1_021,instruction_following,1,37,25,0.7194731700007347,0.5394131497305352,0.13666666666666666,0,59.00300101350997,51.50945298373699,15647.19287109375,success,
inst_L2_022,instruction_following,2,80,68,0.6685326822984307,0.613863271876558,0.03292361720807726,0,52.73347052109363,77.37906300462782,15673.40380859375,success,
inst_L3_023,instruction_following,3,124,112,0.6571475174832567,0.6392751248251345,0.0185006435006435,0,50.89361963290611,99.50644220225513,15711.24658203125,success,
inst_L4_024,instruction_following,4,137,125,0.6417392322994513,0.6608130899389395,0.01664516129032258,0,49.04630711802559,127.08301190286875,15733.97412109375,success,
inst_L5_025,instruction_following,5,213,201,0.6446775459540368,0.6760381338454318,0.009353233830845771,0,48.43197060543025,195.47413499094546,15819.10791015625,success,
